ark_id,collection_en,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010052757,Paintings,Historic Collection,,,,0,1755.0
cl010052758,Paintings,Historic Collection,,,,0,1650.0
cl010052759,Paintings,Purchase,,,,0,1843.0
cl010052760,Paintings,Other,,,,0,1750.0
cl010052761,Paintings,Purchase,,,61-80,0,1779.0
cl010052762,Paintings,Gift,,,100+,0,1819.0
cl010052765,Paintings,Other,,,,0,1830.0
cl010052768,Paintings,Other,,,100+,0,1827.0
cl010052773,Paintings,Other,,,,0,1750.0
cl010052774,Paintings,Purchase,,,,0,1700.0
cl010052775,Paintings,Other,,,100+,0,1827.0
cl010052776,Paintings,Purchase,,,,0,1845.0
cl010052777,Paintings,Purchase,,,,0,1750.0
cl010052778,Paintings,Purchase,,,,0,1750.0
cl010052779,Paintings,Historic Collection,,,,0,1750.0
cl010052781,Paintings,Bequest,,,,0,1750.0
cl010052782,Paintings,Bequest,,,,0,1750.0
cl010052784,Paintings,Bequest,,,100+,0,1762.5
cl010052785,Paintings,Purchase,,,,0,1750.0
cl010052787,Paintings,Bequest,,,,0,
cl010052795,Paintings,Other,,,100+,0,1827.0
cl010052797,Paintings,Other,,,100+,0,1850.0
cl010052799,Paintings,Purchase,,,,0,1810.0
cl010052808,Paintings,Other,,,100+,0,1850.0
cl010052815,Paintings,Other,,,100+,0,1850.0
cl010052817,Paintings,Other,,,100+,0,1850.0
cl010052818,Paintings,Purchase,,,,0,1830.0
cl010052819,Paintings,Other,,,,0,1736.0
cl010052820,Paintings,Other,,,100+,0,1850.0
cl010052831,Paintings,Historic Collection,,,,0,1875.0
cl010052833,Paintings,Other,,,,0,1735.0
cl010052834,Paintings,Other,,,100+,0,1750.0
cl010052835,Paintings,Purchase,,,81-100,0,1450.0
cl010052837,Paintings,Purchase,,,,0,1650.0
cl010052843,Paintings,Other,,,100+,0,1848.0
cl010052844,Paintings,Historic Collection,,,,0,1650.0
cl010052845,Paintings,Historic Collection,,,,0,1650.0
cl010052846,Paintings,Historic Collection,,,,0,1650.0
cl010052847,Paintings,Bequest,,,,0,1750.0
cl010052848,Paintings,Bequest,,,100+,0,
cl010052850,Paintings,Purchase,,,,0,1775.0
cl010052851,Paintings,Historic Collection,,,,0,1697.0
cl010052852,Paintings,Bequest,,,,0,1750.0
cl010052855,Paintings,Other,,,100+,0,1819.0
cl010052856,Paintings,Bequest,,,100+,0,1850.0
cl010052858,Paintings,Other,,,100+,0,1775.0
cl010052859,Paintings,Bequest,,,,0,1840.5
cl010052861,Paintings,Other,,,100+,0,1834.0
cl010052862,Paintings,Other,,,,0,1755.0
cl010052863,Paintings,Purchase,,,61-80,0,1650.0
cl010052864,Paintings,Historic Collection,,,,0,1650.0
cl010052865,Paintings,Bequest,,,,0,1847.0
cl010052868,Paintings,Gift,,,,0,1850.0
cl010052869,Paintings,Other,,,,0,1783.0
cl010052871,Paintings,Other,,,,0,1750.0
cl010052872,Paintings,Bequest,,,21-40,0,1650.0
cl010052873,Paintings,Historic Collection,,,,0,1719.0
cl010052874,Paintings,Other,,,,0,1719.0
cl010052882,Paintings,Historic Collection,,,,0,1750.0
cl010052891,Paintings,Purchase,,,,0,1850.0
cl010052894,Paintings,Bequest,,,,0,1750.0
cl010052895,Paintings,Bequest,,,100+,0,1650.0
cl010052896,Paintings,Bequest,,,100+,0,1750.0
cl010052899,Paintings,Bequest,,,100+,0,1650.0
cl010052901,Paintings,Other,,,,0,1804.0
cl010052903,Paintings,Purchase,,,61-80,0,1850.0
cl010052905,Paintings,Bequest,,,,0,1850.0
cl010052906,Paintings,Other,,,100+,0,1830.0
cl010052908,Paintings,Purchase,,,,0,1850.0
cl010052909,Paintings,Purchase,,,,0,1850.0
cl010052912,Paintings,Historic Collection,,,,0,1750.0
cl010052914,Paintings,Bequest,,,,0,1850.0
cl010052915,Paintings,Bequest,,,100+,0,1853.0
cl010052916,Paintings,Bequest,,,81-100,0,1850.0
cl010052918,Paintings,Bequest,,,100+,0,1850.0
cl010052919,Paintings,Purchase,,,100+,0,1835.0
cl010052921,Paintings,Purchase,,,,0,1850.0
cl010052922,Paintings,Purchase,,,,0,1850.0
cl010052924,Paintings,Bequest,,,81-100,0,1825.0
cl010052925,Paintings,Bequest,,,81-100,0,1825.0
cl010052926,Paintings,Bequest,,,,0,1750.0
cl010052927,Paintings,Purchase,,,,0,1850.0
cl010052928,Paintings,Historic Collection,,,,0,1702.0
cl010052930,Paintings,Other,,,,0,1752.0
cl010052931,Paintings,Unknown,,,,0,1754.0
cl010052932,Paintings,Historic Collection,,,,0,1750.0
cl010052933,Paintings,Other,,,100+,0,1831.0
cl010052934,Paintings,Other,,,100+,0,1819.0
cl010052935,Paintings,Other,,,100+,0,1829.0
cl010052937,Paintings,Historic Collection,,,,0,1714.5
cl010052938,Paintings,Other,,,,0,1714.0
cl010052939,Paintings,Historic Collection,,,,0,1702.0
cl010052940,Paintings,Historic Collection,,,,0,1702.0
cl010052941,Paintings,Historic Collection,,,,0,1702.0
cl010052942,Paintings,Historic Collection,,,,0,1702.0
cl010052943,Paintings,Other,,,,0,1714.0
cl010052944,Paintings,Historic Collection,,,,0,1714.0
cl010052945,Paintings,Other,,,,0,1726.0
cl010052948,Paintings,Historic Collection,,,,0,1726.0
cl010052949,Paintings,Historic Collection,,,,0,1726.0
cl010052950,Paintings,Historic Collection,,,,0,1700.5
cl010052951,Paintings,Historic Collection,,,,0,1700.5
cl010052952,Paintings,Other,,,100+,0,1824.0
cl010052953,Paintings,Historic Collection,,,,0,1650.0
cl010052954,Paintings,Purchase,,,41-60,0,1727.5
cl010052955,Paintings,Purchase,,,,0,1825.0
cl010052956,Paintings,Other,,,100+,0,1850.0
cl010052962,Paintings,Gift,,,,0,1547.0
cl010052965,Paintings,Historic Collection,,,,0,1750.0
cl010052966,Paintings,Gift,,,,0,1780.0
cl010052971,Paintings,Other,,,100+,0,1813.0
cl010052973,Paintings,Bequest,,,100+,0,1750.0
cl010052975,Paintings,Historic Collection,,,,0,1743.0
cl010052976,Paintings,Historic Collection,,,,0,1750.0
cl010052977,Paintings,Historic Collection,,,,0,1750.0
cl010052979,Paintings,Purchase,,,61-80,0,1850.0
cl010052980,Paintings,Unknown,,,,0,1761.0
cl010052982,Paintings,Purchase,,,61-80,0,1760.0
cl010052983,Paintings,Other,,,,0,1832.0
cl010052988,Paintings,Bequest,,,41-60,0,1658.0
cl010052989,Paintings,Bequest,,,41-60,0,1780.0
cl010052990,Paintings,Bequest,,,41-60,0,1750.0
cl010052991,Paintings,Bequest,,,41-60,0,1650.0
cl010052992,Paintings,Bequest,,,41-60,0,1750.0
cl010052993,Paintings,Bequest,,,41-60,0,1750.0
cl010052994,Paintings,Bequest,,,41-60,0,1750.0
cl010052995,Paintings,Bequest,,,41-60,0,1812.5
cl010052996,Paintings,Bequest,,,41-60,0,1812.5
cl010052997,Paintings,Bequest,,,41-60,0,1750.0
cl010052998,Paintings,Bequest,,,41-60,0,1750.0
cl010053000,Paintings,Bequest,,,,0,1840.0
cl010053001,Paintings,Bequest,,,,0,1857.0
cl010053002,Paintings,Other,,,,0,1720.0
cl010053003,Paintings,Gift,,,,0,1851.0
cl010053004,Paintings,Purchase,,,,0,1841.0
cl010053006,Paintings,Purchase,,,,0,1724.0
cl010053007,Paintings,Purchase,,,,0,1724.0
cl010053008,Paintings,Bequest,,,100+,0,1650.0
cl010053009,Paintings,Purchase,,,,0,1850.0
cl010053010,Paintings,Bequest,,,,0,1852.5
cl010053013,Paintings,Gift,,,,0,1850.0
cl010053014,Paintings,Bequest,,,,0,1850.0
cl010053017,Paintings,Gift,,,100+,0,1580.0
cl010053018,Paintings,Historic Collection,,,,0,1750.0
cl010053020,Paintings,Purchase,,,,0,1863.0
cl010053021,Paintings,Other,,,100+,0,1850.0
cl010053024,Paintings,Historic Collection,,,,0,1750.0
cl010053025,Paintings,Unknown,,,,0,1750.0
cl010053026,Paintings,Historic Collection,,,,0,1750.0
cl010053027,Paintings,Historic Collection,,,,0,1750.0
cl010053028,Paintings,Historic Collection,,,,0,1750.0
cl010053029,Paintings,Bequest,5440.0,Q3,,0,1750.0
cl010053031,Paintings,Purchase,,,100+,0,1850.0
cl010053037,Paintings,Bequest,,,,0,1840.5
cl010053039,Paintings,Historic Collection,,,,0,1650.0
cl010053040,Paintings,Bequest,,,,0,1850.0
cl010053041,Paintings,Bequest,,,,0,1850.0
cl010053042,Paintings,Unknown,,,,0,1685.0
cl010053045,Paintings,Other,,,100+,0,1822.0
cl010053046,Paintings,Other,,,,0,1808.0
cl010053047,Paintings,Other,,,100+,0,1850.0
cl010053048,Paintings,Other,,,,0,1850.0
cl010053050,Paintings,Other,,,100+,0,1864.0
