ark_id,collection,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010052739,Département des Peintures,Purchase,,,,0,1650.0
cl010052740,Département des Peintures,Historic Collection,,,,0,1743.0
cl010052741,Département des Peintures,Other,,,100+,0,1822.0
cl010052743,Département des Peintures,Purchase,,,61-80,0,1733.0
cl010052744,Département des Peintures,Purchase,,,,0,1834.0
cl010052746,Département des Peintures,Purchase,,,100+,0,1730.0
cl010052747,Département des Peintures,Purchase,,,,0,1736.0
cl010052748,Département des Peintures,Purchase,,,,0,1736.0
cl010052751,Département des Peintures,Bequest,,,100+,0,1750.0
cl010052755,Département des Peintures,Other,,,100+,0,1850.0
cl010052756,Département des Peintures,Bequest,,,100+,0,1750.0
cl010052757,Département des Peintures,Historic Collection,,,,0,1755.0
cl010052758,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052759,Département des Peintures,Purchase,,,,0,1843.0
cl010052760,Département des Peintures,Other,,,,0,1750.0
cl010052761,Département des Peintures,Purchase,,,61-80,0,1779.0
cl010052762,Département des Peintures,Gift,,,100+,0,1819.0
cl010052765,Département des Peintures,Other,,,,0,1830.0
cl010052768,Département des Peintures,Other,,,100+,0,1827.0
cl010052773,Département des Peintures,Other,,,,0,1750.0
cl010052774,Département des Peintures,Purchase,,,,0,1700.0
cl010052775,Département des Peintures,Other,,,100+,0,1827.0
cl010052776,Département des Peintures,Purchase,,,,0,1845.0
cl010052777,Département des Peintures,Purchase,,,,0,1750.0
cl010052778,Département des Peintures,Purchase,,,,0,1750.0
cl010052779,Département des Peintures,Historic Collection,,,,0,1750.0
cl010052781,Département des Peintures,Bequest,,,,0,1750.0
cl010052782,Département des Peintures,Bequest,,,,0,1750.0
cl010052784,Département des Peintures,Bequest,,,100+,0,1762.5
cl010052785,Département des Peintures,Purchase,,,,0,1750.0
cl010052787,Département des Peintures,Bequest,,,,0,
cl010052795,Département des Peintures,Other,,,100+,0,1827.0
cl010052797,Département des Peintures,Other,,,100+,0,1850.0
cl010052799,Département des Peintures,Purchase,,,,0,1810.0
cl010052808,Département des Peintures,Other,,,100+,0,1850.0
cl010052815,Département des Peintures,Other,,,100+,0,1850.0
cl010052817,Département des Peintures,Other,,,100+,0,1850.0
cl010052818,Département des Peintures,Purchase,,,,0,1830.0
cl010052819,Département des Peintures,Other,,,,0,1736.0
cl010052820,Département des Peintures,Other,,,100+,0,1850.0
cl010052831,Département des Peintures,Historic Collection,,,,0,1875.0
cl010052833,Département des Peintures,Other,,,,0,1735.0
cl010052834,Département des Peintures,Other,,,100+,0,1750.0
cl010052835,Département des Peintures,Purchase,,,81-100,0,1450.0
cl010052837,Département des Peintures,Purchase,,,,0,1650.0
cl010052843,Département des Peintures,Other,,,100+,0,1848.0
cl010052844,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052845,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052846,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052847,Département des Peintures,Bequest,,,,0,1750.0
cl010052848,Département des Peintures,Bequest,,,100+,0,
cl010052850,Département des Peintures,Purchase,,,,0,1775.0
cl010052851,Département des Peintures,Historic Collection,,,,0,1697.0
cl010052852,Département des Peintures,Bequest,,,,0,1750.0
cl010052855,Département des Peintures,Other,,,100+,0,1819.0
cl010052856,Département des Peintures,Bequest,,,100+,0,1850.0
cl010052858,Département des Peintures,Other,,,100+,0,1775.0
cl010052859,Département des Peintures,Bequest,,,,0,1840.5
cl010052861,Département des Peintures,Other,,,100+,0,1834.0
cl010052862,Département des Peintures,Other,,,,0,1755.0
cl010052863,Département des Peintures,Purchase,,,61-80,0,1650.0
cl010052864,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052865,Département des Peintures,Bequest,,,,0,1847.0
cl010052868,Département des Peintures,Gift,,,,0,1850.0
cl010052869,Département des Peintures,Other,,,,0,1783.0
cl010052871,Département des Peintures,Other,,,,0,1750.0
cl010052872,Département des Peintures,Bequest,,,21-40,0,1650.0
cl010052873,Département des Peintures,Historic Collection,,,,0,1719.0
cl010052874,Département des Peintures,Other,,,,0,1719.0
cl010052882,Département des Peintures,Historic Collection,,,,0,1750.0
cl010052891,Département des Peintures,Purchase,,,,0,1850.0
cl010052894,Département des Peintures,Bequest,,,,0,1750.0
cl010052895,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052896,Département des Peintures,Bequest,,,100+,0,1750.0
cl010052899,Département des Peintures,Bequest,,,100+,0,1650.0
cl010052901,Département des Peintures,Other,,,,0,1804.0
cl010052903,Département des Peintures,Purchase,,,61-80,0,1850.0
cl010052905,Département des Peintures,Bequest,,,,0,1850.0
