object_id,department,acquisition_type,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
36057,Asian Art,Purchase/Fund,7961.6,Q3,Pre-1400,0,1345.0
36058,Asian Art,Purchase/Fund,16229.029999999999,Q4 (largest),1400-1600,0,1562.0
36059,Asian Art,Purchase/Fund,6944.3099999999995,Q3,1600-1800,0,1724.0
36060,Asian Art,Purchase/Fund,14639.24,Q4 (largest),1800-1900,0,1874.0
36061,Asian Art,Purchase/Fund,18720.24,Q4 (largest),1400-1600,0,1500.0
36062,Asian Art,Purchase/Fund,1250.48,Q2,1400-1600,0,1497.0
36063,Asian Art,Purchase/Fund,879.1999999999999,Q1 (smallest),Pre-1400,0,1250.0
36064,Asian Art,Purchase/Fund,597.6800000000001,Q1 (smallest),Pre-1400,0,1240.0
36065,Asian Art,Purchase/Fund,759.1999999999999,Q1 (smallest),Pre-1400,0,1368.0
36066,Asian Art,Gift,628.26,Q1 (smallest),1900-1950,0,1916.0
36067,Asian Art,Bequest,19428.64,Q4 (largest),1400-1600,0,1548.0
36068,Asian Art,Gift,6372.080000000001,Q3,1400-1600,0,1450.0
36069,Asian Art,Gift,20303.28,Q4 (largest),1600-1800,0,1700.0
36070,Asian Art,Gift,5674.69,Q3,1400-1600,0,1500.0
36071,Asian Art,Gift,3753.66,Q3,1600-1800,0,1750.0
36072,Asian Art,Gift,4110.23728,Q3,1600-1800,0,1675.0
36073,Asian Art,Purchase/Fund,613.1999999999999,Q1 (smallest),1900-1950,0,1941.0
36075,Asian Art,Purchase/Fund,3448.16,Q2,1800-1900,0,1835.0
36076,Asian Art,Purchase/Fund,7504.2,Q3,1900-1950,0,1947.0
36079,Asian Art,Gift,9876.900000000001,Q4 (largest),1400-1600,0,1500.0
36080,Asian Art,Gift,17273.5,Q4 (largest),1400-1600,0,1518.0
36081,Asian Art,Purchase/Fund,15084.160000000002,Q4 (largest),1400-1600,0,1591.0
36082,Asian Art,Purchase/Fund,15084.160000000002,Q4 (largest),1400-1600,0,1591.0
36083,Asian Art,Gift,776.14,Q1 (smallest),1600-1800,0,1634.0
36084,Asian Art,Gift,13670.28,Q4 (largest),1400-1600,0,1574.0
36088,Asian Art,Gift,4764.78,Q3,1600-1800,0,1651.0
36089,Asian Art,Purchase/Fund,818.4,Q1 (smallest),1600-1800,0,1654.0
36090,Asian Art,Purchase/Fund,818.4,Q1 (smallest),1600-1800,0,1654.0
36091,Asian Art,Purchase/Fund,803.52,Q1 (smallest),1600-1800,0,1654.0
36092,Asian Art,Gift,13286.04,Q4 (largest),1600-1800,0,1761.0
36093,Asian Art,Bequest,9932.669999999998,Q4 (largest),1400-1600,0,1497.0
36094,Asian Art,Bequest,12047.49,Q4 (largest),1600-1800,0,1639.0
36095,Asian Art,Gift,37993.56,Q4 (largest),1600-1800,0,1635.0
36096,Asian Art,Gift,7774.8,Q3,1800-1900,0,1802.0
36098,Asian Art,Gift,16736.829999999998,Q4 (largest),1900-1950,0,1942.0
36099,Asian Art,Gift,9732.0,Q4 (largest),1400-1600,0,1550.0
36100,Asian Art,Gift,6513.580000000001,Q3,1600-1800,0,1657.0
36101,Asian Art,Gift,6519.240000000001,Q3,1600-1800,0,1726.0
36102,Asian Art,Gift,3169.12,Q2,1600-1800,0,1722.0
36103,Asian Art,Gift,413.7,Q1 (smallest),1400-1600,0,1514.0
36104,Asian Art,Bequest,19105.28,Q4 (largest),Pre-1400,0,1175.0
36105,Asian Art,Bequest,20078.800000000003,Q4 (largest),1600-1800,0,1750.0
36106,Asian Art,Bequest,5820.0,Q3,1600-1800,0,1750.0
36107,Asian Art,Bequest,996.45,Q1 (smallest),1600-1800,0,1627.0
36108,Asian Art,Bequest,463.76,Q1 (smallest),1600-1800,0,1631.0
36109,Asian Art,Bequest,2377.9,Q2,1600-1800,0,1649.0
36110,Asian Art,Bequest,7371.079999999999,Q3,1400-1600,0,1600.0
36111,Asian Art,Bequest,1629.36,Q2,1600-1800,0,1650.0
36112,Asian Art,Bequest,1578.7200000000003,Q2,1600-1800,0,1657.0
36113,Asian Art,Bequest,4656.4800000000005,Q3,1800-1900,1,1834.0
36114,Asian Art,Bequest,5560.320000000001,Q3,1600-1800,0,1650.0
36115,Asian Art,Bequest,3660.8,Q3,1600-1800,1,1716.0
36116,Asian Art,Bequest,1424.3799999999999,Q2,1600-1800,0,1750.0
36119,Asian Art,Bequest,22120.01,Q4 (largest),1600-1800,0,1650.0
36120,Asian Art,Gift,3339.7599999999998,Q2,1600-1800,0,1678.0
36123,Asian Art,Bequest,23502.270000000004,Q4 (largest),1400-1600,0,1478.0
36127,Asian Art,Gift,6814.680000000001,Q3,1900-1950,0,1930.0
36128,Asian Art,Gift,3763.6600000000003,Q3,1900-1950,0,1910.0
36129,Asian Art,Gift,712.1899999999999,Q1 (smallest),1600-1800,0,1675.0
36130,Asian Art,Gift,1899.58,Q2,1600-1800,0,1685.0
36131,Asian Art,Gift,1848.97095757,Q2,1600-1800,0,1688.0
36133,Asian Art,Gift,25343.73,Q4 (largest),1600-1800,0,1700.0
36134,Asian Art,Gift,938.4,Q1 (smallest),1600-1800,0,1660.0
36135,Asian Art,Gift,4676.5,Q3,1400-1600,0,1578.0
36136,Asian Art,Gift,10960.320000000002,Q4 (largest),1400-1600,0,1450.0
36137,Asian Art,Gift,395.16,Q1 (smallest),Pre-1400,0,1240.0
36138,Asian Art,Gift,10025.099999999999,Q4 (largest),1400-1600,0,1527.0
36139,Asian Art,Gift,3407.64,Q2,1600-1800,0,1715.0
36140,Asian Art,Gift,130.645425780529,Q1 (smallest),Pre-1400,0,1383.0
36141,Asian Art,Gift,675.84,Q1 (smallest),Pre-1400,0,1216.0
36143,Asian Art,Bequest,6019.16,Q3,Pre-1400,0,1364.0
36144,Asian Art,Bequest,815.4,Q1 (smallest),1800-1900,0,1850.0
36146,Asian Art,Gift,1965.04,Q2,1800-1900,0,1850.0
36147,Asian Art,Gift,3456.5399999999995,Q2,1800-1900,0,1802.0
36148,Asian Art,Gift,6225.87,Q3,1800-1900,0,1815.0
36149,Asian Art,Gift,3494.82,Q2,1800-1900,0,1841.0
36150,Asian Art,Gift,3244.8500000000004,Q2,1800-1900,0,1846.0
36151,Asian Art,Gift,4217.9400000000005,Q3,1800-1900,0,1816.0
36152,Asian Art,Gift,3993.2000000000003,Q3,1800-1900,0,1843.0
36153,Asian Art,Gift,4501.6,Q3,1800-1900,0,1850.0
36154,Asian Art,Gift,817.4399999999999,Q1 (smallest),1800-1900,0,1828.0
36155,Asian Art,Gift,850.64,Q1 (smallest),1800-1900,0,1827.0
36156,Asian Art,Gift,850.64,Q1 (smallest),1800-1900,0,1827.0
36157,Asian Art,Gift,897.6,Q1 (smallest),1800-1900,0,1868.0
36158,Asian Art,Gift,3910.34,Q3,1800-1900,0,1852.0
36159,Asian Art,Gift,3946.98,Q3,1800-1900,0,1870.0
36160,Asian Art,Gift,11566.099999999999,Q4 (largest),1800-1900,0,1862.0
36161,Asian Art,Gift,938.0600000000001,Q1 (smallest),1800-1900,0,1862.0
36162,Asian Art,Gift,3565.6899999999996,Q3,1800-1900,0,1870.0
36163,Asian Art,Gift,5854.839999999999,Q3,1800-1900,0,1854.0
36164,Asian Art,Gift,4381.8,Q3,1800-1900,0,1850.0
36165,Asian Art,Gift,3312.2999999999997,Q2,1800-1900,0,1858.0
36166,Asian Art,Gift,5743.3,Q3,1800-1900,0,1878.0
36167,Asian Art,Gift,980.7199999999999,Q1 (smallest),1800-1900,0,1859.0
36168,Asian Art,Gift,416.34,Q1 (smallest),1800-1900,0,1883.0
36169,Asian Art,Gift,4883.380000000001,Q3,1800-1900,0,1864.0
36170,Asian Art,Gift,839.16,Q1 (smallest),1800-1900,0,1868.0
36171,Asian Art,Gift,590.13,Q1 (smallest),1800-1900,0,1875.0
36172,Asian Art,Gift,1981.45695276,Q2,1800-1900,0,1883.0
36173,Asian Art,Gift,873.8100000000001,Q1 (smallest),1800-1900,0,1869.0
36174,Asian Art,Gift,4441.8,Q3,1800-1900,0,1866.0
36175,Asian Art,Gift,3468.96,Q2,1800-1900,0,1866.0
36176,Asian Art,Gift,7727.079999999999,Q3,1800-1900,0,1846.0
36177,Asian Art,Gift,5847.810000000001,Q3,1800-1900,0,1868.0
36178,Asian Art,Gift,7512.16,Q3,1800-1900,0,1873.0
36179,Asian Art,Gift,980.7199999999999,Q1 (smallest),1800-1900,0,1883.0
36180,Asian Art,Gift,5853.33,Q3,1800-1900,0,1889.0
36181,Asian Art,Gift,949.4399999999999,Q1 (smallest),1800-1900,0,1894.0
36182,Asian Art,Gift,4155.839999999999,Q3,1800-1900,0,1900.0
36183,Asian Art,Gift,5530.2300000000005,Q3,1800-1900,0,1900.0
36184,Asian Art,Gift,1163.1599999999999,Q2,1800-1900,0,1865.0
36185,Asian Art,Gift,3492.0,Q2,1900-1950,0,1901.0
36186,Asian Art,Gift,9316.0,Q4 (largest),1800-1900,0,1898.0
36187,Asian Art,Gift,843.3600000000001,Q1 (smallest),1800-1900,0,1894.0
36188,Asian Art,Gift,930.34,Q1 (smallest),1800-1900,0,1866.0
36189,Asian Art,Gift,1686.0800000000002,Q2,1900-1950,0,1903.0
36190,Asian Art,Gift,11167.75,Q4 (largest),1900-1950,0,1907.0
36191,Asian Art,Gift,5505.66,Q3,1800-1900,0,1878.0
36192,Asian Art,Gift,7163.780000000001,Q3,1800-1900,0,1888.0
36193,Asian Art,Gift,4104.0599999999995,Q3,1800-1900,0,1882.0
36194,Asian Art,Gift,806.7599999999999,Q1 (smallest),1900-1950,0,1901.0
36195,Asian Art,Gift,807.72,Q1 (smallest),1900-1950,0,1912.0
36196,Asian Art,Gift,834.9,Q1 (smallest),1900-1950,0,1910.0
36197,Asian Art,Gift,4492.210000000001,Q3,1900-1950,0,1910.0
36198,Asian Art,Gift,7076.91,Q3,1800-1900,0,1894.0
36199,Asian Art,Gift,4176.2,Q3,1800-1900,0,1894.0
36200,Asian Art,Gift,1842.0800000000002,Q2,1900-1950,0,1910.0
36201,Asian Art,Gift,753.4799999999999,Q1 (smallest),1900-1950,0,1911.0
36202,Asian Art,Gift,1222.0199999999998,Q2,1900-1950,0,1912.0
36203,Asian Art,Gift,3784.6,Q3,1900-1950,0,1923.0
36204,Asian Art,Gift,1096.1,Q2,1900-1950,0,1919.0
36205,Asian Art,Gift,1053.0,Q2,1900-1950,0,1921.0
36206,Asian Art,Gift,2229.75,Q2,1900-1950,0,1914.0
36207,Asian Art,Gift,4118.43,Q3,1900-1950,0,1912.0
36208,Asian Art,Gift,968.6599999999999,Q1 (smallest),1900-1950,0,1914.0
36209,Asian Art,Gift,1985.34,Q2,1900-1950,0,1902.0
36210,Asian Art,Gift,1108.38,Q2,1900-1950,0,1923.0
36211,Asian Art,Gift,980.2200000000001,Q1 (smallest),1900-1950,0,1914.0
36212,Asian Art,Gift,4718.849999999999,Q3,1900-1950,0,1913.0
36213,Asian Art,Gift,6902.88,Q3,1900-1950,0,1929.0
36214,Asian Art,Gift,8883.6,Q3,1900-1950,0,1924.0
36215,Asian Art,Gift,5652.839999999999,Q3,1900-1950,0,1929.0
36216,Asian Art,Gift,886.4399999999999,Q1 (smallest),1900-1950,0,1921.0
36217,Asian Art,Gift,8391.6,Q3,1900-1950,0,1921.0
