collection_age_band,display_rate,count
0-20,12.712397734424167,1589
21-40,8.359550561797754,2225
41-60,18.544194107452338,1731
61-80,15.378955114054452,1359
81-100,22.455403987408186,953
100+,21.515679442508713,1148
