object_id,object_id,title,artist_name,artist_nationality,artist_begin_date,artist_end_date,object_begin_date,object_end_date,medium,dimensions,department,culture,period,credit_line,accession_year,is_public_domain,is_highlight,height_cm,width_cm,gallery_number,is_on_display,tags
35974,35974,清   倣王時敏  山水  扇面|Landscape,Wang Shimin|Unidentified artist,Chinese| ,1592      |          ,1680      |          ,1700,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 1/2 in. (16.5 x 52.1 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,52.1,,0,Mountains|Landscapes
35975,35975,清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,1707,1911,Folding fan mounted as an album leaf; ink and color on paper,6 1/2 x 19 1/4 in. (16.5 x 48.9 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,48.9,,0,Landscapes
35975,35975,清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,1707,1911,Folding fan mounted as an album leaf; ink and color on paper,6 1/2 x 19 1/4 in. (16.5 x 48.9 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,48.9,,0,Landscapes
35977,35977,明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan,Dong Yuan|Lu Kezheng,Chinese|Chinese,0930      |1600      ,0960      |1644      ,1591,1651,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 in. (16.5 x 50.8 cm),Asian Art,China,Ming (1368–1644) or Qing (1644–1911) dynasty,"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,50.8,,0,Landscapes
35977,35977,明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan,Dong Yuan|Lu Kezheng,Chinese|Chinese,0930      |1600      ,0960      |1644      ,1591,1651,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 in. (16.5 x 50.8 cm),Asian Art,China,Ming (1368–1644) or Qing (1644–1911) dynasty,"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,50.8,,0,Landscapes
35979,35979,明/清　佚名　倣文徴明　山水　扇|Landscape,Wen Zhengming|Unidentified artist,Chinese| ,1470      |          ,1559      |          ,1368,1644,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,7 1/8 x 20 1/2 in. (18.1 x 52.1 cm),Asian Art,China,Ming dynasty (1368–1644) or later,"John Stewart Kennedy Fund, 1913",1913,True,False,18.1,52.1,,0,Mountains|Landscapes
35979,35979,明/清　佚名　倣文徴明　山水　扇|Landscape,Wen Zhengming|Unidentified artist,Chinese| ,1470      |          ,1559      |          ,1368,1644,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,7 1/8 x 20 1/2 in. (18.1 x 52.1 cm),Asian Art,China,Ming dynasty (1368–1644) or later,"John Stewart Kennedy Fund, 1913",1913,True,False,18.1,52.1,,0,Mountains|Landscapes
35981,35981,明/清   沈顥   漁父圖   扇|Qu Yuan and the Fisherman,Shen Hao,Chinese,1630      ,1650      ,1630,1650,Folding fan mounted as an album leaf; ink on gold paper,6 5/8 x 20 1/4 in. (16.8 x 51.4 cm),Asian Art,China,Ming (1368–1644) or Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.8,51.4,,0,Landscapes
35981,35981,明/清   沈顥   漁父圖   扇|Qu Yuan and the Fisherman,Shen Hao,Chinese,1630      ,1650      ,1630,1650,Folding fan mounted as an album leaf; ink on gold paper,6 5/8 x 20 1/4 in. (16.8 x 51.4 cm),Asian Art,China,Ming (1368–1644) or Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.8,51.4,,0,Landscapes
35984,35984,明   宋懋晉   樓居圖   扇|Dwelling in Landscape,Song Maojin|Unidentified artist,Chinese| ,1571      |          ,1635      |          ,1600,1644,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/4 x 18 1/4 in. (15.9 x 46.4 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,15.9,46.4,212,1,Landscapes|Trees
35984,35984,明   宋懋晉   樓居圖   扇|Dwelling in Landscape,Song Maojin|Unidentified artist,Chinese| ,1571      |          ,1635      |          ,1600,1644,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/4 x 18 1/4 in. (15.9 x 46.4 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,15.9,46.4,212,1,Landscapes|Trees
35986,35986,明    程嘉燧   園鷄圖   扇|Landscape with Chicken,Cheng Jiasui,Chinese,1565      ,1644      ,1368,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 3/8 in. (16.5 x 51.8 cm),Asian Art,China,Ming (1368–1644)–Qing (1644–1911) dynasty,"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,51.8,,0,Roosters
35986,35986,明    程嘉燧   園鷄圖   扇|Landscape with Chicken,Cheng Jiasui,Chinese,1565      ,1644      ,1368,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 3/8 in. (16.5 x 51.8 cm),Asian Art,China,Ming (1368–1644)–Qing (1644–1911) dynasty,"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,51.8,,0,Roosters
35988,35988,明　李流芳　疏林小景　扇|Figure standing in a grove of trees,Li Liufang,Chinese,1575      ,1629      ,1613,1613,Folding fan mounted as an album leaf; ink on gold paper,7 7/32 x 21 7/8 in. (18.4 x 55.6 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,18.4,55.6,,0,Trees
35988,35988,明　李流芳　疏林小景　扇|Figure standing in a grove of trees,Li Liufang,Chinese,1575      ,1629      ,1613,1613,Folding fan mounted as an album leaf; ink on gold paper,7 7/32 x 21 7/8 in. (18.4 x 55.6 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,18.4,55.6,,0,Trees
35989,35989,明   陳季淳   山水人物圖  扇頁|Landscape with figure,Chen Jichun,Chinese,1633      ,1667      ,1635,1635,Folding fan mounted as an album leaf; ink and color on gold paper,7 3/8 × 21 3/4 in. (18.7 × 55.2 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,18.7,55.2,,0,Landscapes|Trees|Pavilions
35989,35989,明   陳季淳   山水人物圖  扇頁|Landscape with figure,Chen Jichun,Chinese,1633      ,1667      ,1635,1635,Folding fan mounted as an album leaf; ink and color on gold paper,7 3/8 × 21 3/4 in. (18.7 × 55.2 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,18.7,55.2,,0,Landscapes|Trees|Pavilions
35990,35990,明　吳彬　翠壁丹楓　扇|Azure Cliff with Red Maples,Wu Bin,Chinese,1583      ,1626      ,1603,1603,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 × 18 3/4 in. (16.2 × 47.6 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.2,47.6,,0,Landscapes
35990,35990,明　吳彬　翠壁丹楓　扇|Azure Cliff with Red Maples,Wu Bin,Chinese,1583      ,1626      ,1603,1603,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 × 18 3/4 in. (16.2 × 47.6 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.2,47.6,,0,Landscapes
35992,35992,明/清   潘雲馭   秋江落照   扇|Setting Sun on the Autumn River,Pan Yunyu,Chinese,1400      ,1599      ,1604,1604,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/4 x 19 in. (15.9 x 48.3 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,15.9,48.3,,0,Landscapes|Boats
35992,35992,明/清   潘雲馭   秋江落照   扇|Setting Sun on the Autumn River,Pan Yunyu,Chinese,1400      ,1599      ,1604,1604,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/4 x 19 in. (15.9 x 48.3 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,15.9,48.3,,0,Landscapes|Boats
35994,35994,明/清   祁豸佳   山水 圖|Landscape with fisherman,Qi Zhijia,Chinese,1627      ,1682      ,1643,1643,Folding fan mounted as an album leaf; ink on paper,6 1/2 x 19 1/2 in. (16.5 x 49.5 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,49.5,212,1,Landscapes
35994,35994,明/清   祁豸佳   山水 圖|Landscape with fisherman,Qi Zhijia,Chinese,1627      ,1682      ,1643,1643,Folding fan mounted as an album leaf; ink on paper,6 1/2 x 19 1/2 in. (16.5 x 49.5 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,49.5,212,1,Landscapes
35996,35996,明   張翀   花鳥圖   扇面|Bird on a flowering branch,Zhang Chong,Chinese,1570      ,1610      ,1570,1610,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 19 1/4 in. (16.5 x 48.9 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,48.9,,0,Birds|Flowers
35996,35996,明   張翀   花鳥圖   扇面|Bird on a flowering branch,Zhang Chong,Chinese,1570      ,1610      ,1570,1610,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 19 1/4 in. (16.5 x 48.9 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,48.9,,0,Birds|Flowers
35998,35998,明   佚名   倣邵彌   倣文徵明山水  扇頁|Landscape After Wen Zhengming,Shao Mi,Chinese,1620      ,1660      ,1640,1640,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,6 1/2 × 18 3/4 in. (16.5 × 47.6 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,47.6,,0,Landscapes
35998,35998,明   佚名   倣邵彌   倣文徵明山水  扇頁|Landscape After Wen Zhengming,Shao Mi,Chinese,1620      ,1660      ,1640,1640,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,6 1/2 × 18 3/4 in. (16.5 × 47.6 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,47.6,,0,Landscapes
36000,36000,明/清   莊冏生   山水   扇面|River Landscape,Zhuang Jiongsheng,Chinese,1626      ,1726      ,1644,1676,Folding fan mounted as an album leaf; ink on gold paper,6 3/8 x 19 3/4 in. (16.2 x 50.2 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.2,50.2,212,1,Rivers|Landscapes
36000,36000,明/清   莊冏生   山水   扇面|River Landscape,Zhuang Jiongsheng,Chinese,1626      ,1726      ,1644,1676,Folding fan mounted as an album leaf; ink on gold paper,6 3/8 x 19 3/4 in. (16.2 x 50.2 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.2,50.2,212,1,Rivers|Landscapes
36001,36001,明/清   文止   疏影橫斜   扇|Plum Blossoms,Wen Zhi,Chinese,1634      ,1699      ,1670,1670,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/2 x 19 3/4 in. (16.5 x 50.2 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,50.2,,0,Flowers
36001,36001,明/清   文止   疏影橫斜   扇|Plum Blossoms,Wen Zhi,Chinese,1634      ,1699      ,1670,1670,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/2 x 19 3/4 in. (16.5 x 50.2 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,16.5,50.2,,0,Flowers
36002,36002,清　吳山濤　山水圖　扇|Riverscape with moored boats,Wu Shantao,Chinese,1624      ,1710      ,1667,1710,Folding fan mounted as an album leaf; ink on gold paper,6 1/4 x 18 5/8 in. (15.9 x 47.3 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,15.9,47.3,,0,Mountains|Landscapes|Boats
36002,36002,清　吳山濤　山水圖　扇|Riverscape with moored boats,Wu Shantao,Chinese,1624      ,1710      ,1667,1710,Folding fan mounted as an album leaf; ink on gold paper,6 1/4 x 18 5/8 in. (15.9 x 47.3 cm),Asian Art,China,Qing dynasty (1644–1911),"John Stewart Kennedy Fund, 1913",1913,True,False,15.9,47.3,,0,Mountains|Landscapes|Boats
